text,category,priority
Many families are impacted due to lack of proper shelter resources. Case 557 to prepare for upcoming needs,Shelter,LOW
"kids hungry, meals skipped with people in urgent distress",Food,HIGH
Household 364 reports lack of clean drinking water access. for timely assistance,Water,MEDIUM
Sanitation infrastructure is inadequate in zone 285. to help the affected community,Sanitation,MEDIUM
Residents in area 24 walk long distances for water collection. for future planning,Water,LOW
There has been a continuous problem with food services affecting daily life. Case 637 due to a critical situation,Food,HIGH
Relief support is needed after disaster in locality 138. with people in urgent distress,Disaster,HIGH
Water scarcity is affecting daily life in region 111. as a general requirement,Water,LOW
Waste disposal systems are absent in locality 311. to prepare for upcoming needs,Sanitation,LOW
Unemployment is rising in community 189. following a severe disaster,Livelihood,HIGH
Residents in area 83 walk long distances for water collection. for timely assistance,Water,MEDIUM
"Starvation is a big problem here the last 10 days, kids are getting weak and it's life threatening. following a severe disaster",Food,HIGH
Flooding has displaced families in area 110. due to a critical situation,Disaster,HIGH
People in area 196 need skill development opportunities. with people in urgent distress,Livelihood,HIGH
"roof broken unsafe living, need support soon for future planning",Shelter,LOW
Families in region 173 lack stable income sources. as a general requirement,Livelihood,LOW
"In near the industrial belt, the playground isn't maintained for the past week, the whole neighborhood is struggling. We really need help soon because the whole neighborhood is struggling. to prepare for upcoming needs",Education,LOW
Household 30 reports lack of clean drinking water access. to help the affected community,Water,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 776 to support ongoing recovery,Education,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 608 for routine support,Education,LOW
Workers in locality 120 are struggling to find jobs. for timely assistance,Livelihood,MEDIUM
Village 392 requires installation of water supply systems. to prepare for upcoming needs,Water,LOW
Area 385 lacks proper sanitation and toilet facilities. for future planning,Sanitation,LOW
"pls help no doctor here, affecting everyone here as a general requirement",Health,LOW
Sanitation infrastructure is inadequate in zone 373. for future planning,Sanitation,LOW
There has been a continuous problem with education services affecting daily life. Case 677 for routine support,Education,LOW
There has been a continuous problem with food services affecting daily life. Case 272 to help the affected community,Food,MEDIUM
Open defecation is common in region 253. to prepare for upcoming needs,Sanitation,LOW
"In the coastal village, living under bridge following the flood, the whole neighborhood is struggling no proper shelter. We really need help soon because the whole neighborhood is struggling. following a severe disaster",Shelter,HIGH
Many families are impacted due to lack of proper health resources. Case 398 as lives are at immediate risk,Health,HIGH
Flooding has displaced families in area 95. as lives are at immediate risk,Disaster,HIGH
Residents report ongoing health problems making survival difficult. Case 190 for timely assistance,Health,MEDIUM
Flooding has displaced families in area 121. to support ongoing recovery,Disaster,MEDIUM
"In our village, the area needs street lights for safety since last month, the community is desperate. We really need help soon because the community is desperate. for future planning",Shelter,LOW
There has been a continuous problem with food services affecting daily life. Case 834 due to a critical situation,Food,HIGH
There has been a continuous problem with health services affecting daily life. Case 654 as lives are at immediate risk,Health,HIGH
Electricity supply is unreliable in region 73. following a severe disaster,Infrastructure,HIGH
Relief support is needed after disaster in locality 135. for routine support,Disaster,LOW
"Food is okay but children need snacks for school over the past few days, kids are getting weak. We really need help soon because kids are getting weak. for routine support",Food,LOW
Roads in village 58 are damaged and unsafe. as lives are at immediate risk,Infrastructure,HIGH
Relief support is needed after disaster in locality 130. as lives are at immediate risk,Disaster,HIGH
Livelihood support is required for households in zone 209. to help the affected community,Livelihood,MEDIUM
Bridges in area 386 require urgent repair. to help the affected community,Infrastructure,MEDIUM
"classrooms overcrowded, pls help as a general requirement",Education,LOW
Relief support is needed after disaster in locality 124. for timely assistance,Disaster,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 181 to prepare for upcoming needs,Shelter,LOW
The situation regarding health has worsened significantly in recent days. Case 994 following a severe disaster,Health,HIGH
Area 209 lacks proper sanitation and toilet facilities. for timely assistance,Sanitation,MEDIUM
Open defecation is common in region 112. to help the affected community,Sanitation,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 101 for timely assistance,Food,MEDIUM
"no medicine available nearby, very difficult situation for future planning",Health,LOW
"many falling ill here, cant manage anymore to help the affected community",Health,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 361 to prepare for upcoming needs,Education,LOW
People in area 314 need skill development opportunities. due to a critical situation,Livelihood,HIGH
Community 76 is facing hygiene issues due to poor sanitation. for routine support,Sanitation,LOW
Earthquake impact is severe in region 386. to help the affected community,Disaster,MEDIUM
Earthquake impact is severe in region 175. to support ongoing recovery,Disaster,MEDIUM
Community 345 is recovering from cyclone damage. with people in urgent distress,Disaster,HIGH
Sanitation infrastructure is inadequate in zone 410. to help the affected community,Sanitation,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 829 as a general requirement,Shelter,LOW
People in area 407 need skill development opportunities. due to a critical situation,Livelihood,HIGH
Families in region 64 lack stable income sources. for routine support,Livelihood,LOW
Workers in locality 231 are struggling to find jobs. as lives are at immediate risk,Livelihood,HIGH
People in this area are facing severe issues related to health and need support immediately. Case 946 with people in urgent distress,Health,HIGH
Many families are impacted due to lack of proper food resources. Case 730 as lives are at immediate risk,Food,HIGH
"School has no blackboard or benches over the past few days, school going kids are impacted. as part of current needs",Education,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 885 for future planning,Education,LOW
Bridges in area 261 require urgent repair. to support ongoing recovery,Infrastructure,MEDIUM
Community 87 is recovering from cyclone damage. as lives are at immediate risk,Disaster,HIGH
Community 80 depends on contaminated water sources. due to a critical situation,Water,HIGH
Relief support is needed after disaster in locality 69. for routine support,Disaster,LOW
Infrastructure development is needed in zone 191. to help the affected community,Infrastructure,MEDIUM
Community 381 is facing hygiene issues due to poor sanitation. with people in urgent distress,Sanitation,HIGH
Water scarcity is affecting daily life in region 4. as lives are at immediate risk,Water,HIGH
Flooding has displaced families in area 375. for routine support,Disaster,LOW
"In the hill tribe area, food is completely finished since supplies stopped, the whole neighborhood is struggling are crying for something to eat. We really need help soon because the whole neighborhood is struggling. as lives are at immediate risk",Food,HIGH
Workers in locality 392 are struggling to find jobs. for timely assistance,Livelihood,MEDIUM
People in area 170 need skill development opportunities. for routine support,Livelihood,LOW
Open defecation is common in region 54. for future planning,Sanitation,LOW
Residents in area 217 walk long distances for water collection. as lives are at immediate risk,Water,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 925 as part of current needs,Education,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 929 to help the affected community,Health,MEDIUM
Community 26 is facing hygiene issues due to poor sanitation. for routine support,Sanitation,LOW
The situation regarding food has worsened significantly in recent days. Case 673 with people in urgent distress,Food,HIGH
Many families are impacted due to lack of proper health resources. Case 245 to help the affected community,Health,MEDIUM
"roof broken unsafe living, cant manage anymore as lives are at immediate risk",Shelter,HIGH
The situation regarding education has worsened significantly in recent days. Case 629 for routine support,Education,LOW
"no medicine available nearby, getting worse daily to prepare for upcoming needs",Health,LOW
"people sick no clinic open, affecting everyone here to help the affected community",Health,MEDIUM
People in area 31 need skill development opportunities. to prepare for upcoming needs,Livelihood,LOW
Household 56 reports lack of clean drinking water access. for timely assistance,Water,MEDIUM
"In the resettlement site, ration is coming late every month since supplies stopped, the elderly can't cope are managing somehow. as part of current needs",Food,MEDIUM
Waste disposal systems are absent in locality 108. as lives are at immediate risk,Sanitation,HIGH
Health related issue reported in area 410 requiring attention. following a severe disaster,Health,HIGH
People in this area are facing severe issues related to health and need support immediately. Case 709 to help the affected community,Health,MEDIUM
Household 204 reports lack of clean drinking water access. as lives are at immediate risk,Water,HIGH
Residents report ongoing health problems making survival difficult. Case 202 following a severe disaster,Health,HIGH
There has been a continuous problem with education services affecting daily life. Case 264 to help the affected community,Education,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 840 as lives are at immediate risk,Shelter,HIGH
Unemployment is rising in community 286. for routine support,Livelihood,LOW
People in this area are facing severe issues related to shelter and need support immediately. Case 437 to prepare for upcoming needs,Shelter,LOW
Livelihood support is required for households in zone 93. for routine support,Livelihood,LOW
Roads in village 196 are damaged and unsafe. to help the affected community,Infrastructure,MEDIUM
Sanitation infrastructure is inadequate in zone 22. to help the affected community,Sanitation,MEDIUM
Sanitation infrastructure is inadequate in zone 46. to help the affected community,Sanitation,MEDIUM
"No shelter, living on the road in this drought, the community is desperate in extreme conditions. We really need help soon because the community is desperate. due to a critical situation",Shelter,HIGH
Waste disposal systems are absent in locality 349. for timely assistance,Sanitation,MEDIUM
Community 90 is facing hygiene issues due to poor sanitation. with people in urgent distress,Sanitation,HIGH
The situation regarding education has worsened significantly in recent days. Case 489 to help the affected community,Education,MEDIUM
Village 258 requires installation of water supply systems. as a general requirement,Water,LOW
Residents in area 215 walk long distances for water collection. to prepare for upcoming needs,Water,LOW
People in this area are facing severe issues related to food and need support immediately. Case 524 to support ongoing recovery,Food,MEDIUM
Many families are impacted due to lack of proper health resources. Case 525 to help the affected community,Health,MEDIUM
Waste disposal systems are absent in locality 131. to support ongoing recovery,Sanitation,MEDIUM
"In my locality, the PHC is understaffed after the heavy rains, school going kids are impacted have to wait long. to help the affected community",Health,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 414 for timely assistance,Education,MEDIUM
Community 23 is facing hygiene issues due to poor sanitation. to help the affected community,Sanitation,MEDIUM
Village 133 requires installation of water supply systems. with people in urgent distress,Water,HIGH
Earthquake impact is severe in region 233. as part of current needs,Disaster,MEDIUM
Earthquake impact is severe in region 99. as a general requirement,Disaster,LOW
The situation regarding food has worsened significantly in recent days. Case 567 following a severe disaster,Food,HIGH
Sanitation infrastructure is inadequate in zone 137. to prepare for upcoming needs,Sanitation,LOW
People in this area are facing severe issues related to education and need support immediately. Case 687 as a general requirement,Education,LOW
There has been a continuous problem with education services affecting daily life. Case 447 to support ongoing recovery,Education,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 665 as lives are at immediate risk,Shelter,HIGH
Natural disaster has disrupted life in zone 85. as a general requirement,Disaster,LOW
Flooding has displaced families in area 14. to support ongoing recovery,Disaster,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 411 as part of current needs,Shelter,MEDIUM
Waste disposal systems are absent in locality 334. as lives are at immediate risk,Sanitation,HIGH
People in area 68 need skill development opportunities. for future planning,Livelihood,LOW
Workers in locality 119 are struggling to find jobs. due to a critical situation,Livelihood,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 356 for routine support,Education,LOW
Earthquake impact is severe in region 13. to help the affected community,Disaster,MEDIUM
"roof broken unsafe living, needs improvement for timely assistance",Shelter,MEDIUM
Earthquake impact is severe in region 154. due to a critical situation,Disaster,HIGH
Families in region 268 lack stable income sources. as a general requirement,Livelihood,LOW
Relief support is needed after disaster in locality 50. to support ongoing recovery,Disaster,MEDIUM
"In the urban poor colony, severe malaria cases increasing after the heavy rains, women and children are affected without drugs. We really need help soon because women and children are affected. as lives are at immediate risk",Health,HIGH
The situation regarding education has worsened significantly in recent days. Case 997 for routine support,Education,LOW
Infrastructure development is needed in zone 7. for routine support,Infrastructure,LOW
Roads in village 211 are damaged and unsafe. with people in urgent distress,Infrastructure,HIGH
Community 404 depends on contaminated water sources. as lives are at immediate risk,Water,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 123 to help the affected community,Shelter,MEDIUM
Public transport is unavailable in locality 148. following a severe disaster,Infrastructure,HIGH
The situation regarding food has worsened significantly in recent days. Case 773 to help the affected community,Food,MEDIUM
Flooding has displaced families in area 165. for future planning,Disaster,LOW
"food not enough for family, need support soon to support ongoing recovery",Food,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 737 as a general requirement,Education,LOW
Livelihood support is required for households in zone 19. for future planning,Livelihood,LOW
The situation regarding food has worsened significantly in recent days. Case 975 as part of current needs,Food,MEDIUM
"Food is completely finished since last month, the community is desperate are crying for something to eat. with people in urgent distress",Food,HIGH
Open defecation is common in region 152. as part of current needs,Sanitation,MEDIUM
Natural disaster has disrupted life in zone 247. due to a critical situation,Disaster,HIGH
Livelihood support is required for households in zone 371. for routine support,Livelihood,LOW
"no books for students, pls help for timely assistance",Education,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 108 as lives are at immediate risk,Health,HIGH
Community 220 is recovering from cyclone damage. following a severe disaster,Disaster,HIGH
"In the urban poor colony, the food supplies are irregular for the past week, school going kids are impacted but not starving yet. to support ongoing recovery",Food,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 807 for future planning,Shelter,LOW
Livelihood support is required for households in zone 264. to prepare for upcoming needs,Livelihood,LOW
Household 20 reports lack of clean drinking water access. due to a critical situation,Water,HIGH
Village 151 requires installation of water supply systems. to help the affected community,Water,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 325 following a severe disaster,Shelter,HIGH
People in area 320 need skill development opportunities. for routine support,Livelihood,LOW
Waste disposal systems are absent in locality 405. with people in urgent distress,Sanitation,HIGH
Open defecation is common in region 147. as lives are at immediate risk,Sanitation,HIGH
Household 242 reports lack of clean drinking water access. for routine support,Water,LOW
Roads in village 34 are damaged and unsafe. following a severe disaster,Infrastructure,HIGH
Community 53 depends on contaminated water sources. as a general requirement,Water,LOW
Food related issue reported in area 400 requiring attention. to support ongoing recovery,Food,MEDIUM
Bridges in area 255 require urgent repair. to help the affected community,Infrastructure,MEDIUM
"learning stopped almost, affecting everyone here as lives are at immediate risk",Education,HIGH
Sanitation infrastructure is inadequate in zone 176. for timely assistance,Sanitation,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 102 following a severe disaster,Shelter,HIGH
"In the hill tribe area, we have some basic medicines but no specialists over the past few days, children are suffering badly. We really need help soon because children are suffering badly. as part of current needs",Health,MEDIUM
Waste disposal systems are absent in locality 377. for future planning,Sanitation,LOW
Workers in locality 383 are struggling to find jobs. to prepare for upcoming needs,Livelihood,LOW
Waste disposal systems are absent in locality 94. to prepare for upcoming needs,Sanitation,LOW
Public transport is unavailable in locality 187. as a general requirement,Infrastructure,LOW
hospital too far cant go as a general requirement,Health,LOW
"hospital too far cant go, very difficult situation for routine support",Health,LOW
People in this area are facing severe issues related to health and need support immediately. Case 757 with people in urgent distress,Health,HIGH
food supply stopped suddenly following a severe disaster,Food,HIGH
Village 402 requires installation of water supply systems. for future planning,Water,LOW
People in area 296 need skill development opportunities. for timely assistance,Livelihood,MEDIUM
"kids not studying properly, cant manage anymore due to a critical situation",Education,HIGH
People in area 188 need skill development opportunities. as a general requirement,Livelihood,LOW
Residents report ongoing education problems making survival difficult. Case 231 as a general requirement,Education,LOW
The situation regarding shelter has worsened significantly in recent days. Case 118 for timely assistance,Shelter,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 276 to prepare for upcoming needs,Shelter,LOW
"kids not studying properly, pls help as lives are at immediate risk",Education,HIGH
"roof broken unsafe living, getting worse daily to support ongoing recovery",Shelter,MEDIUM
Village 117 requires installation of water supply systems. to help the affected community,Water,MEDIUM
Roads in village 140 are damaged and unsafe. for routine support,Infrastructure,LOW
Food related issue reported in area 408 requiring attention. as a general requirement,Food,LOW
"temporary shelter very bad, affecting everyone here with people in urgent distress",Shelter,HIGH
Roads in village 298 are damaged and unsafe. to help the affected community,Infrastructure,MEDIUM
Many families are impacted due to lack of proper education resources. Case 658 to prepare for upcoming needs,Education,LOW
Sanitation infrastructure is inadequate in zone 375. to prepare for upcoming needs,Sanitation,LOW
Unemployment is rising in community 75. for future planning,Livelihood,LOW
People in area 409 need skill development opportunities. following a severe disaster,Livelihood,HIGH
Residents in area 16 walk long distances for water collection. to help the affected community,Water,MEDIUM
"Shelter is there but damaged by storm ever since the storm, school going kids are impacted need repairs. as part of current needs",Shelter,MEDIUM
Residents report ongoing health problems making survival difficult. Case 556 due to a critical situation,Health,HIGH
There has been a continuous problem with education services affecting daily life. Case 234 for future planning,Education,LOW
The situation regarding education has worsened significantly in recent days. Case 164 for routine support,Education,LOW
Public transport is unavailable in locality 282. to help the affected community,Infrastructure,MEDIUM
Open defecation is common in region 161. as a general requirement,Sanitation,LOW
Public transport is unavailable in locality 362. for timely assistance,Infrastructure,MEDIUM
Community 3 depends on contaminated water sources. to help the affected community,Water,MEDIUM
Open defecation is common in region 18. to support ongoing recovery,Sanitation,MEDIUM
Water scarcity is affecting daily life in region 109. to help the affected community,Water,MEDIUM
"Food is completely finished after the heavy rains, the elderly can't cope are crying for something to eat. following a severe disaster",Food,HIGH
People in this area are facing severe issues related to shelter and need support immediately. Case 523 as lives are at immediate risk,Shelter,HIGH
"learning stopped almost, need support soon as part of current needs",Education,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 720 as a general requirement,Education,LOW
Open defecation is common in region 356. with people in urgent distress,Sanitation,HIGH
The situation regarding food has worsened significantly in recent days. Case 939 as lives are at immediate risk,Food,HIGH
Sanitation infrastructure is inadequate in zone 62. for routine support,Sanitation,LOW
Household 223 reports lack of clean drinking water access. following a severe disaster,Water,HIGH
People in area 379 need skill development opportunities. for timely assistance,Livelihood,MEDIUM
Many families are impacted due to lack of proper food resources. Case 67 for timely assistance,Food,MEDIUM
People in area 205 need skill development opportunities. as part of current needs,Livelihood,MEDIUM
Roads in village 353 are damaged and unsafe. as a general requirement,Infrastructure,LOW
Water scarcity is affecting daily life in region 39. due to a critical situation,Water,HIGH
"In the urban poor colony, the PHC is understaffed for the past week, pregnant women need help have to wait long. We really need help soon because pregnant women need help. for timely assistance",Health,MEDIUM
Electricity supply is unreliable in region 1. to help the affected community,Infrastructure,MEDIUM
Water scarcity is affecting daily life in region 46. to support ongoing recovery,Water,MEDIUM
Livelihood support is required for households in zone 247. for future planning,Livelihood,LOW
Livelihood support is required for households in zone 355. for future planning,Livelihood,LOW
Village 2 requires installation of water supply systems. as lives are at immediate risk,Water,HIGH
Water scarcity is affecting daily life in region 197. as lives are at immediate risk,Water,HIGH
Relief support is needed after disaster in locality 61. as lives are at immediate risk,Disaster,HIGH
The situation regarding education has worsened significantly in recent days. Case 464 to help the affected community,Education,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 696 for timely assistance,Food,MEDIUM
Infrastructure development is needed in zone 275. to support ongoing recovery,Infrastructure,MEDIUM
Community 145 is recovering from cyclone damage. as part of current needs,Disaster,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 613 for timely assistance,Food,MEDIUM
There has been a continuous problem with shelter services affecting daily life. Case 460 due to a critical situation,Shelter,HIGH
"In the coastal village, food is okay but children need snacks for school ever since the storm, the elderly can't cope. for routine support",Food,LOW
Sanitation infrastructure is inadequate in zone 283. for future planning,Sanitation,LOW
The situation regarding education has worsened significantly in recent days. Case 36 for routine support,Education,LOW
Residents report ongoing shelter problems making survival difficult. Case 577 as part of current needs,Shelter,MEDIUM
Roads in village 179 are damaged and unsafe. for routine support,Infrastructure,LOW
Community 319 is recovering from cyclone damage. for timely assistance,Disaster,MEDIUM
Food related issue reported in area 405 requiring attention. due to a critical situation,Food,HIGH
"In our village, no food grains left in the house for the past week, kids are getting weak urgently. with people in urgent distress",Food,HIGH
Public transport is unavailable in locality 251. following a severe disaster,Infrastructure,HIGH
Many families are impacted due to lack of proper shelter resources. Case 106 due to a critical situation,Shelter,HIGH
"Students need more notebooks and pens in this drought, disabled people are at risk. We really need help soon because disabled people are at risk. for routine support",Education,LOW
Livelihood support is required for households in zone 148. to prepare for upcoming needs,Livelihood,LOW
People in this area are facing severe issues related to health and need support immediately. Case 854 due to a critical situation,Health,HIGH
The situation regarding education has worsened significantly in recent days. Case 38 as part of current needs,Education,MEDIUM
Many families are impacted due to lack of proper health resources. Case 716 due to a critical situation,Health,HIGH
Area 63 lacks proper sanitation and toilet facilities. for future planning,Sanitation,LOW
Workers in locality 24 are struggling to find jobs. for timely assistance,Livelihood,MEDIUM
Residents in area 70 walk long distances for water collection. to prepare for upcoming needs,Water,LOW
"In my locality, we have not had proper meals since last month and pregnant women need help. due to a critical situation",Food,HIGH
Village 186 requires installation of water supply systems. for future planning,Water,LOW
Workers in locality 376 are struggling to find jobs. due to a critical situation,Livelihood,HIGH
Community 208 is facing hygiene issues due to poor sanitation. for timely assistance,Sanitation,MEDIUM
Water scarcity is affecting daily life in region 300. for future planning,Water,LOW
Families in region 332 lack stable income sources. to help the affected community,Livelihood,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 281 for timely assistance,Food,MEDIUM
Natural disaster has disrupted life in zone 330. as part of current needs,Disaster,MEDIUM
People in area 372 need skill development opportunities. as a general requirement,Livelihood,LOW
Sanitation infrastructure is inadequate in zone 79. with people in urgent distress,Sanitation,HIGH
"In the hill tribe area, partial closure due to repairs for more than two weeks, my family is in trouble but ongoing. to help the affected community",Education,MEDIUM
Residents report ongoing health problems making survival difficult. Case 640 with people in urgent distress,Health,HIGH
Household 321 reports lack of clean drinking water access. for routine support,Water,LOW
"roof broken unsafe living, very difficult situation with people in urgent distress",Shelter,HIGH
People in this area are facing severe issues related to food and need support immediately. Case 305 for timely assistance,Food,MEDIUM
Earthquake impact is severe in region 163. to support ongoing recovery,Disaster,MEDIUM
Public transport is unavailable in locality 11. as lives are at immediate risk,Infrastructure,HIGH
"In the coastal village, sports equipment is missing since supplies stopped, the elderly can't cope for play. to prepare for upcoming needs",Education,LOW
Community 9 is facing hygiene issues due to poor sanitation. due to a critical situation,Sanitation,HIGH
"pls help no doctor here, cant manage anymore as lives are at immediate risk",Health,HIGH
Residents report ongoing shelter problems making survival difficult. Case 863 with people in urgent distress,Shelter,HIGH
"people sick no clinic open, getting worse daily as lives are at immediate risk",Health,HIGH
Many families are impacted due to lack of proper food resources. Case 5 as part of current needs,Food,MEDIUM
Relief support is needed after disaster in locality 265. due to a critical situation,Disaster,HIGH
The situation regarding shelter has worsened significantly in recent days. Case 767 to support ongoing recovery,Shelter,MEDIUM
Infrastructure development is needed in zone 177. to help the affected community,Infrastructure,MEDIUM
The situation regarding education has worsened significantly in recent days. Case 588 for timely assistance,Education,MEDIUM
Roads in village 90 are damaged and unsafe. for timely assistance,Infrastructure,MEDIUM
Health related issue reported in area 412 requiring attention. for routine support,Health,LOW
"school closed most days, getting worse daily as part of current needs",Education,MEDIUM
Area 24 lacks proper sanitation and toilet facilities. as lives are at immediate risk,Sanitation,HIGH
Many families are impacted due to lack of proper food resources. Case 140 for timely assistance,Food,MEDIUM
Sanitation infrastructure is inadequate in zone 287. to help the affected community,Sanitation,MEDIUM
Sanitation infrastructure is inadequate in zone 291. as part of current needs,Sanitation,MEDIUM
People in area 244 need skill development opportunities. to prepare for upcoming needs,Livelihood,LOW
There has been a continuous problem with shelter services affecting daily life. Case 212 as lives are at immediate risk,Shelter,HIGH
Community 71 is facing hygiene issues due to poor sanitation. to support ongoing recovery,Sanitation,MEDIUM
Unemployment is rising in community 277. to support ongoing recovery,Livelihood,MEDIUM
Public transport is unavailable in locality 321. for routine support,Infrastructure,LOW
Relief support is needed after disaster in locality 188. for future planning,Disaster,LOW
Village 338 requires installation of water supply systems. as a general requirement,Water,LOW
Families in region 215 lack stable income sources. as lives are at immediate risk,Livelihood,HIGH
Public transport is unavailable in locality 85. due to a critical situation,Infrastructure,HIGH
Sanitation infrastructure is inadequate in zone 85. to support ongoing recovery,Sanitation,MEDIUM
Infrastructure development is needed in zone 152. for future planning,Infrastructure,LOW
"In near the industrial belt, teachers not trained for new syllabus the last 10 days, pregnant women need help. for timely assistance",Education,MEDIUM
Residents report ongoing health problems making survival difficult. Case 666 due to a critical situation,Health,HIGH
Community 368 depends on contaminated water sources. as part of current needs,Water,MEDIUM
"We need more health awareness camps ever since the storm, the community is desperate for prevention. We really need help soon because the community is desperate. for future planning",Health,LOW
"In my locality, we need more space or extensions for growing families after the heavy rains, the community is desperate. We really need help soon because the community is desperate. for routine support",Shelter,LOW
People in area 61 need skill development opportunities. for routine support,Livelihood,LOW
Community 328 is recovering from cyclone damage. as lives are at immediate risk,Disaster,HIGH
Electricity supply is unreliable in region 0. as lives are at immediate risk,Infrastructure,HIGH
The situation regarding food has worsened significantly in recent days. Case 481 to support ongoing recovery,Food,MEDIUM
Many families are impacted due to lack of proper education resources. Case 728 as a general requirement,Education,LOW
Electricity supply is unreliable in region 389. to help the affected community,Infrastructure,MEDIUM
Unemployment is rising in community 86. as a general requirement,Livelihood,LOW
The situation regarding health has worsened significantly in recent days. Case 838 to help the affected community,Health,MEDIUM
Livelihood support is required for households in zone 307. to help the affected community,Livelihood,MEDIUM
Many families are impacted due to lack of proper education resources. Case 896 as part of current needs,Education,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 889 following a severe disaster,Health,HIGH
Workers in locality 237 are struggling to find jobs. as a general requirement,Livelihood,LOW
People in area 222 need skill development opportunities. as a general requirement,Livelihood,LOW
Many families are impacted due to lack of proper education resources. Case 649 for timely assistance,Education,MEDIUM
Community 82 is recovering from cyclone damage. to help the affected community,Disaster,MEDIUM
Waste disposal systems are absent in locality 399. to help the affected community,Sanitation,MEDIUM
"Shelter is fine but we want solar lights over the past few days, children are suffering badly. We really need help soon because children are suffering badly. for future planning",Shelter,LOW
Flooding has displaced families in area 209. as part of current needs,Disaster,MEDIUM
food not enough for family with people in urgent distress,Food,HIGH
Residents report ongoing health problems making survival difficult. Case 142 for timely assistance,Health,MEDIUM
Open defecation is common in region 232. to support ongoing recovery,Sanitation,MEDIUM
Area 274 lacks proper sanitation and toilet facilities. following a severe disaster,Sanitation,HIGH
Residents in area 9 walk long distances for water collection. for timely assistance,Water,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 390 following a severe disaster,Health,HIGH
People in area 254 need skill development opportunities. for timely assistance,Livelihood,MEDIUM
"In this rural community, the hut is broken and no place to sleep safely ever since the storm, women and children are affected. We really need help soon because women and children are affected. with people in urgent distress",Shelter,HIGH
The situation regarding health has worsened significantly in recent days. Case 572 as lives are at immediate risk,Health,HIGH
People in this area are facing severe issues related to health and need support immediately. Case 546 following a severe disaster,Health,HIGH
Residents report ongoing education problems making survival difficult. Case 162 for timely assistance,Education,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 724 as a general requirement,Education,LOW
Community 345 is facing hygiene issues due to poor sanitation. for routine support,Sanitation,LOW
People in this area are facing severe issues related to education and need support immediately. Case 775 as part of current needs,Education,MEDIUM
Residents report ongoing education problems making survival difficult. Case 770 as a general requirement,Education,LOW
There has been a continuous problem with shelter services affecting daily life. Case 740 following a severe disaster,Shelter,HIGH
Community 66 depends on contaminated water sources. as a general requirement,Water,LOW
Flooding has displaced families in area 274. with people in urgent distress,Disaster,HIGH
Electricity supply is unreliable in region 243. due to a critical situation,Infrastructure,HIGH
Families in region 81 lack stable income sources. for routine support,Livelihood,LOW
Public transport is unavailable in locality 57. with people in urgent distress,Infrastructure,HIGH
Unemployment is rising in community 204. as a general requirement,Livelihood,LOW
Sanitation infrastructure is inadequate in zone 240. for timely assistance,Sanitation,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 128 as lives are at immediate risk,Food,HIGH
Many families are impacted due to lack of proper health resources. Case 56 following a severe disaster,Health,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 88 as a general requirement,Shelter,LOW
Families in region 161 lack stable income sources. to prepare for upcoming needs,Livelihood,LOW
There has been a continuous problem with food services affecting daily life. Case 941 due to a critical situation,Food,HIGH
"kids not studying properly, need support soon for timely assistance",Education,MEDIUM
Residents report ongoing health problems making survival difficult. Case 625 to help the affected community,Health,MEDIUM
"Evicted from home and no alternative the last 10 days, disabled people are at risk. due to a critical situation",Shelter,HIGH
Village 148 requires installation of water supply systems. as a general requirement,Water,LOW
Water scarcity is affecting daily life in region 317. for future planning,Water,LOW
Residents in area 150 walk long distances for water collection. following a severe disaster,Water,HIGH
"The quality of food in the PDS is poor after the heavy rains, disabled people are at risk getting sick from it. We really need help soon because disabled people are at risk. for timely assistance",Food,MEDIUM
"kids not studying properly, affecting everyone here for future planning",Education,LOW
Health related issue reported in area 408 requiring attention. due to a critical situation,Health,HIGH
